Date,Open,High,Low,Close,Adj Close,Volume
2021-05-17,137.970001,139.070007,137.610001,137.729996,134.540588,7690700
2021-05-18,136.460007,137.830002,136.149994,136.320007,133.163269,9239100
2021-05-19,136.059998,136.830002,135.589996,136.600006,133.436783,9806800
2021-05-20,136.789993,138.710007,136.720001,138.000000,134.804367,8768200
2021-05-21,138.199997,138.940002,137.779999,138.000000,134.804367,10161000
2021-05-24,138.000000,138.800003,137.729996,137.960007,134.765289,6981300
2021-05-25,138.050003,138.479996,136.750000,138.429993,135.224396,8142400
2021-05-26,138.789993,138.860001,137.869995,138.119995,134.921570,8122900
2021-05-27,138.119995,138.279999,134.660004,134.979996,131.854279,33095700
2021-05-28,135.149994,136.130005,134.639999,134.850006,131.727295,10477100
2021-06-01,135.789993,136.000000,132.479996,132.880005,129.802917,9993900
2021-06-02,133.000000,133.630005,132.520004,133.460007,130.369492,8254100
2021-06-03,133.229996,135.910004,133.199997,135.850006,132.704147,11249800
2021-06-04,135.699997,136.619995,135.399994,135.949997,132.801834,6894400
2021-06-07,136.360001,136.839996,135.679993,136.419998,133.260925,8418000
2021-06-08,136.679993,136.750000,134.750000,134.839996,131.717514,6911500
2021-06-09,135.550003,136.440002,134.740005,134.789993,131.668686,6200700
2021-06-10,135.020004,136.350006,134.619995,135.789993,132.645523,6515500
2021-06-11,135.750000,135.869995,133.899994,134.860001,131.737061,10641400
2021-06-14,134.979996,135.029999,133.960007,134.910004,131.785904,6302000
2021-06-15,135.199997,135.639999,134.550003,134.649994,131.531937,5543400
2021-06-16,135.179993,135.580002,132.649994,132.779999,129.705231,8936400
2021-06-17,132.820007,134.160004,132.649994,133.990005,130.887222,7875600
2021-06-18,133.339996,133.350006,131.940002,132.029999,128.972610,13997600
2021-06-21,132.690002,133.259995,132.399994,133.070007,129.988510,8014800
2021-06-22,133.039993,134.020004,132.880005,133.119995,130.037354,6550900
2021-06-23,132.949997,133.360001,132.320007,132.929993,129.851746,5796000
2021-06-24,132.949997,133.309998,132.699997,133.020004,129.939682,6056700
2021-06-25,133.259995,135.539993,132.949997,134.919998,131.795670,24504900
2021-06-28,134.899994,136.160004,134.759995,135.320007,132.186432,6065400
2021-06-29,135.509995,135.830002,133.820007,134.399994,131.287704,5792300
2021-06-30,134.580002,135.289993,134.289993,134.929993,131.805420,5776600
2021-07-01,135.429993,136.139999,134.919998,135.240005,132.108276,5922300
2021-07-02,135.600006,136.639999,135.419998,135.899994,132.752991,5572000
2021-07-06,135.520004,136.300003,135.360001,135.979996,132.831116,6534400
2021-07-07,136.029999,137.589996,136.029999,137.000000,133.827499,5532700
2021-07-08,136.990005,137.399994,135.889999,136.979996,133.807983,7585200
2021-07-09,137.240005,137.649994,136.839996,137.029999,133.856796,5948700
2021-07-12,136.899994,137.470001,136.429993,137.139999,133.964264,6807300
2021-07-13,136.389999,137.570007,136.389999,136.970001,133.798203,5603800
2021-07-14,137.009995,138.229996,136.369995,137.979996,134.784821,5903600
2021-07-15,138.009995,139.259995,137.699997,139.160004,135.937500,7357100
2021-07-16,139.300003,140.779999,139.110001,140.509995,137.256226,9346300
2021-07-19,140.320007,141.869995,138.809998,140.440002,137.187866,9544100
2021-07-20,140.440002,141.979996,139.639999,139.690002,136.455231,8136300
2021-07-21,139.949997,140.199997,138.990005,139.199997,135.976563,6954700
2021-07-22,137.289993,138.330002,136.710007,137.800003,135.455597,6013800
2021-07-23,137.479996,139.979996,137.080002,139.789993,137.411713,7906000
2021-07-26,139.619995,140.820007,139.220001,140.279999,137.893387,5925800
2021-07-27,140.149994,141.619995,140.000000,140.850006,138.453705,7075400
2021-07-28,140.669998,140.669998,138.710007,138.759995,136.399261,8520000
2021-07-29,139.759995,140.179993,138.729996,139.479996,137.106995,5430500
2021-07-30,142.000000,144.539993,141.550003,142.229996,139.810211,14394300
2021-08-02,141.770004,142.429993,140.800003,141.880005,139.466171,7009500
2021-08-03,141.860001,144.210007,141.520004,143.949997,141.500946,8455700
2021-08-04,143.039993,144.089996,142.350006,142.429993,140.006805,6628000
2021-08-05,143.350006,143.550003,141.470001,142.500000,140.075623,5363300
2021-08-06,143.029999,143.119995,141.220001,141.410004,139.004166,6030100
2021-08-09,141.949997,142.589996,141.699997,142.179993,139.761047,4743800
2021-08-10,141.910004,142.509995,141.660004,142.270004,139.849548,5253500
2021-08-11,142.740005,143.240005,142.470001,142.619995,140.193588,4205000
2021-08-12,143.149994,143.149994,142.350006,142.949997,140.517960,4956100
2021-08-13,142.949997,143.990005,142.690002,143.639999,141.196228,4888800
2021-08-16,143.669998,144.690002,143.380005,144.639999,142.179214,6040800
2021-08-17,144.399994,145.600006,143.889999,144.880005,142.415131,7577000
